Source;Target;Weight
1;2;0.1690672488479807
1;3;0.41509140569319425
1;4;0.49239526293798125
1;5;0.22012187425759241
1;6;0.41509140569319425
1;7;0.26133660437219663
1;8;0.29207932727058744
1;9;0.16158751037193433
1;10;0.36403678028358255
1;11;0.0
1;12;0.0
1;13;0.08441325859194965
1;14;0.30185406980339297
1;15;0.07012295565726956
1;16;0.053608179040790245
1;17;0.3244357362288579
1;18;0.06149698513673253
1;19;0.21038951508872822
1;20;0.09710979583498561
1;21;0.26472237329655496
1;22;0.3244357362288579
1;23;0.0784115793836443
1;24;0.16158751037193433
1;25;0.14171029487394812
1;26;0.48704885870618936
1;27;0.29207932727058744
1;28;0.12946620479325605
1;29;0.031850077900088286
1;30;0.0
1;31;0.12946620479325605
1;32;0.06149698513673253
2;36;0.4008393262607163
2;4;0.3117273386474122
2;5;0.5505367439311696
2;37;0.4359942332965776
2;7;0.42633025013078335
2;8;0.6459740893929429
2;38;0.4359942332965776
2;9;0.10337162831305441
2;39;0.4971496443330453
2;40;0.4359942332965776
2;41;0.11801262343836892
2;42;0.10380753091308335
2;43;0.36403678028358255
2;44;0.0
2;11;0.0896794348299217
2;45;0.3395910111411854
2;46;0.12630503296177906
2;12;0.0
2;13;0.0
2;47;0.5415872446096125
2;16;0.14317829124480627
2;48;0.25863481554879497
2;49;0.4359942332965776
2;50;0.24102470186097572
2;18;0.2551603935302367
2;19;0.2551603935302367
2;51;0.13456584809754926
2;20;0.1927817301564292
2;21;0.38390474717597173
2;22;0.2733811108192462
2;23;0.17146077921595354
2;52;0.3129821548739708
2;24;0.731006557092012
2;53;0.24102470186097572
2;54;0.2733811108192462
2;55;0.01869821645134133
2;25;0.4465392749200213
2;56;0.4359942332965776
2;57;0.4150989669604666
2;58;0.09065566946433638
2;28;0.0784115793836443
2;59;0.6392704941664911
2;60;0.4359942332965776
2;29;0.30083140115820073
2;30;0.2582514250994567
2;61;0.4359942332965776
2;62;0.45199389807887086
2;63;0.45199389807887086
2;31;0.43029990837816984
2;64;0.16158751037193433
2;32;0.010442359727120768
3;6;0.6100609371287962
3;7;0.306730495395987
3;9;0.2136677478869432
3;104;0.6820183901417912
3;69;0.48704885870618936
3;11;0.0
3;105;0.6100609371287962
3;12;0.0
3;13;0.306730495395987
3;14;0.5241713066074304
3;51;0.24102470186097572
3;106;0.6820183901417912
3;107;0.5590063117191845
3;108;0.5391679344117123
3;97;0.5194052676644597
3;31;0.3244357362288579
3;109;0.48704885870618936
4;5;0.20142365780625113
4;7;0.366999961890107
4;8;0.2733811108192462
4;9;0.0
4;110;0.3453385638322412
4;10;0.3453385638322412
4;41;0.15036903239663937
4;42;0.2955297466671993
4;111;0.48888882919727505
4;112;0.46835064225484807
4;113;0.46835064225484807
4;44;0.0
4;11;0.04335740894034472
4;46;0.020112318877578375
4;12;0.019283734337446082
4;14;0.12301207842260681
4;48;0.13616393987135375
4;18;0.18906856414825254
4;114;0.46835064225484807
4;19;0.45973621969736844
4;34;0.3453385638322412
4;51;0.3625860341564323
4;21;0.24602415684521362
4;22;0.30573751977751656
4;23;0.05971336293230297
4;101;0.49239526293798125
4;24;0.3263024393670216
4;25;0.2805331188629173
4;115;0.46835064225484807
4;26;0.46835064225484807
4;27;0.2733811108192462
4;28;0.11076798834191473
4;59;0.15036903239663937
4;116;0.45199389807887086
4;29;0.15526318723574056
4;30;0.1983696724079133
4;117;0.46835064225484807
4;31;0.11076798834191473
4;64;0.30560850359359165
4;118;0.30573751977751656
4;32;0.0427987686853912
5;37;0.48704885870618936
5;6;0.41509140569319425
5;7;0.5072455550394298
5;8;0.29207932727058744
5;9;0.01869821645134133
5;39;0.36403678028358255
5;44;0.0006349520744965492
5;11;0.0
5;12;0.0
5;13;0.08441325859194965
5;47;0.29207932727058744
5;14;0.14171029487394812
5;16;0.053608179040790245
5;48;0.1548621563226951
5;17;0.3244357362288579
5;50;0.29207932727058744
5;18;0.21038951508872822
5;78;0.11801262343836892
5;19;0.21038951508872822
5;51;0.04605517042537387
5;20;0.2509976122153091
5;21;0.26472237329655496
5;24;0.4259996541516483
5;55;0.06975284186095307
5;25;0.41821997981013986
5;57;0.29207932727058744
5;28;0.12946620479325605
5;59;0.4522024873577336
5;116;0.47331484901934645
5;107;0.36403678028358255
5;29;0.17658413817621624
5;30;0.08664621350958622
5;90;0.41509140569319425
5;108;0.1548621563226951
5;63;0.3244357362288579
5;31;0.5810554994606589
5;64;0.06975284186095307
5;32;0.21038951508872822
6;7;0.306730495395987
6;104;0.6820183901417912
6;105;0.6100609371287962
6;13;0.145986861219124
6;19;0.2564665165723344
6;26;0.6820183901417912
6;108;0.349831687758297
6;31;0.3244357362288579
6;109;0.48704885870618936
7;36;0.11163918670174328
7;98;0.145986861219124
7;37;0.3887811727685657
7;8;0.16646393596452838
7;120;0.24851461333710712
7;9;0.0
7;110;0.09493223580951224
7;104;0.21794431423211905
7;39;0.24851461333710712
7;40;0.21794431423211905
7;41;0.11792377992699313
7;42;0.17478248128273854
7;111;0.20335886708293266
7;94;0.09493223580951224
7;43;0.145986861219124
7;112;0.21794431423211905
7;67;0.145986861219124
7;113;0.3887811727685657
7;68;0.0
7;44;0.07259630850766563
7;11;0.013679417685939556
7;45;0.0
7;46;0.0
7;105;0.145986861219124
7;12;0.0
7;99;0.0
7;13;0.312872294067632
7;47;0.16646393596452838
7;14;0.15733913536104832
7;15;0.0
7;100;0.24851461333710712
7;16;0.0
7;121;0.21794431423211905
7;48;0.17478248128273854
7;49;0.21794431423211905
7;17;0.3109208073040366
7;122;0.3887811727685657
7;50;0.3567739498339698
7;18;0.41750177779874287
7;123;0.21794431423211905
7;124;0.09493223580951224
7;114;0.21794431423211905
7;78;0.05450428538207623
7;19;0.21038508897232422
7;34;0.09493223580951224
7;51;0.27356232577020995
7;20;0.09818538468868583
7;35;0.0
7;96;0.23674552417619527
7;21;0.1352697161800335
7;22;0.05533119175478763
7;23;0.0053123037104449294
7;125;0.21794431423211905
7;119;0.145986861219124
7;101;0.33125822884789935
7;102;0.24851461333710712
7;52;0.09493223580951224
7;24;0.4757184436640079
7;126;0.21794431423211905
7;127;0.05533119175478763
7;81;0.022974782796517185
7;55;0.17393945524024412
7;25;0.27944607214838224
7;115;0.21794431423211905
7;26;0.21794431423211905
7;57;0.022974782796517185
7;58;0.0
7;84;0.0
7;103;0.09493223580951224
7;28;0.14109976881919686
7;59;0.31955782627328944
7;87;0.306730495395987
7;60;0.3887811727685657
7;116;0.270728031723789
7;107;0.09493223580951224
7;29;0.28980997069316417
7;30;0.2685604555754348
7;128;0.20335886708293266
7;90;0.306730495395987
7;108;0.17478248128273854
7;129;0.145986861219124
7;62;0.05533119175478763
7;97;0.05533119175478763
7;130;0.21794431423211905
7;63;0.05533119175478763
7;117;0.3887811727685657
7;31;0.3635674636314131
7;109;0.270728031723789
7;64;0.3937695338339477
7;118;0.39968833396448084
7;93;0.16646393596452838
7;32;0.3793977283664635
8;36;0.3446149730813017
8;98;0.48704885870618936
8;9;0.09065566946433638
8;11;0.0
8;45;0.20142365780625113
8;12;0.0
8;13;0.022974782796517185
8;14;0.2136677478869432
8;16;0.49284044346061895
8;48;0.22681960933569015
8;18;0.13345443814972757
8;19;0.13345443814972757
8;79;0.396393189241853
8;20;0.1690672488479807
8;23;0.15036903239663937
8;24;0.4465392749200213
8;53;0.36403678028358255
8;55;0.14171029487394812
8;25;0.6096904946035321
8;57;0.36403678028358255
8;28;0.20142365780625113
8;59;0.24102470186097572
8;29;0.10380753091308335
8;30;0.07953683299935559
8;131;0.5590063117191845
8;61;0.5590063117191845
8;108;0.22681960933569015
8;62;0.396393189241853
8;31;0.20142365780625113
9;33;0.16261312247733145
9;36;0.0
9;65;0.2856252008999382
9;132;0.46595542454855043
9;120;0.16261312247733145
9;10;0.16261312247733145
9;40;0.2856252008999382
9;42;0.08717403633284149
9;111;0.12301207842260681
9;94;0.16261312247733145
9;112;0.2856252008999382
