Source;Target;Weight
1;4;0.49239526293798125
2;24;0.731006557092012
2;8;0.6459740893929429
2;59;0.6392704941664911
2;5;0.5505367439311696
3;104;0.6820183901417912
4;101;0.49239526293798125
5;31;0.5810554994606589
5;7;0.5072455550394298
6;104;0.6820183901417912
6;26;0.6820183901417912
8;25;0.6096904946035321
8;131;0.5590063117191845
9;15;0.5133209650995287
9;132;0.46595542454855043
9;133;0.46595542454855043
10;140;0.6309637647321794
11;36;0.13467212606267503
12;150;0.17015928179510287
12;155;0.11836825611733635
13;17;0.47727942402818224
13;157;0.3887811727685657
14;108;0.7060418317301688
16;77;0.5057620874803023
17;32;0.6319316534914665
17;147;0.6291553886287338
18;123;0.5147574292653443
19;41;0.708667666046949
20;143;0.6050067391545294
21;63;0.7006017644390622
21;47;0.6604089888588147
21;23;0.6466008756584014
22;135;0.6743111348829082
23;45;0.6191102393280634
25;123;0.6062219839800091
26;113;0.7539758431547863
26;111;0.5913627206774548
27;79;0.5922604575103294
28;143;0.645199514734777
29;124;0.5594199663034848
30;68;0.3864240061339559
33;34;0.7194668811370827
34;148;0.6309637647321794
34;115;0.6309637647321794
35;84;0.5650224851811577
35;133;0.5553655263919253
36;52;0.4266656504538804
37;119;0.6820183901417912
37;63;0.5913627206774548
38;56;0.7539758431547863
38;43;0.6820183901417912
38;39;0.6309637647321794
38;102;0.6309637647321794
40;49;1.0
40;136;0.7539758431547863
40;48;0.621218611784291
40;116;0.5590063117191845
41;42;0.8665490608683964
41;82;0.6374162037645039
41;67;0.5553655263919253
43;97;0.7325270169417881
43;121;0.6820183901417912
44;68;0.6402213142574023
46;77;0.48888882919727505
50;54;0.5922604575103294
51;118;0.4289757683930643
52;71;0.7194668811370827
52;60;0.6309637647321794
53;57;0.9094133527693539
53;153;0.7776827631959626
54;77;0.5913627206774548
55;124;0.6096904946035321
56;65;0.7539758431547863
56;95;0.6820183901417912
58;146;0.46595542454855043
60;87;0.6820183901417912
61;143;0.6820183901417912
62;127;0.6291553886287338
63;134;0.8145776943143669
64;93;0.6740168760502002
64;118;0.6434884115610694
65;86;0.6743111348829082
66;72;0.7539758431547863
66;75;0.7539758431547863
66;82;0.7539758431547863
66;80;0.6309637647321794
68;124;0.6943914964064083
69;74;0.8520396932069646
69;71;0.7837762536582872
70;76;0.7318028576539649
70;153;0.6743111348829082
71;75;0.8597334405685414
72;73;1.0
72;149;0.7539758431547863
74;91;0.8239690292385349
74;88;0.8145776943143669
75;148;0.7539758431547863
76;89;0.8949540773374758
76;80;0.8239690292385349
76;135;0.6743111348829082
77;81;0.7776827631959626
77;151;0.7539758431547863
77;95;0.6820183901417912
78;125;0.5792003217056241
78;152;0.5792003217056241
78;156;0.5792003217056241
79;86;0.6219727957701078
80;152;0.8597334405685414
81;124;0.6374162037645039
83;91;0.8597334405685414
84;129;0.7837762536582872
85;144;0.5316493577451519
87;130;0.6820183901417912
88;103;0.6309637647321794
90;107;0.5590063117191845
92;151;0.6820183901417912
94;97;0.6743111348829082
94;96;0.6062219839800091
96;98;0.6644378660388891
96;120;0.6062219839800091
97;106;0.8145776943143669
97;108;0.6700482246557333
99;150;0.4522024873577336
99;133;0.4359942332965776
100;143;0.7776827631959626
101;142;0.7578109909513253
101;114;0.6956320858233839
104;105;0.9179493226274212
104;137;0.7539758431547863
104;106;0.7539758431547863
104;140;0.7539758431547863
105;139;0.7776827631959626
105;126;0.6820183901417912
106;107;0.8597334405685414
108;109;0.7988072272957846
109;128;0.954706676384677
110;114;0.8597334405685414
112;116;0.5590063117191845
113;117;1.0
113;129;0.6820183901417912
118;122;0.8145776943143669
120;122;0.6309637647321794
121;130;0.7539758431547863
123;124;0.6309637647321794
126;145;0.7539758431547863
127;129;0.7325270169417881
127;146;0.6743111348829082
134;135;0.8597334405685414
136;143;0.6820183901417912
137;138;0.6820183901417912
138;143;0.8358986452548426
140;142;0.6820183901417912
141;151;0.7539758431547863
144;145;0.7539758431547863
146;147;0.6743111348829082
152;154;1.0
