Source;Target;Weight
1;32;0.39794000867203766
1;18;0.569323441926607
1;10;0.39794000867203766
1;30;0.47013780791097076
2;34;0.8239087409443188
2;13;0.5372435736804816
2;18;0.3058653605207225
2;28;0.4559319556497244
3;32;0.6989700043360187
3;18;0.6967170503250103
3;26;0.49614072717481555
3;31;0.7480703635874079
4;31;0.7610560044063084
4;10;0.39794000867203766
5;31;0.5228787452803376
5;19;0.3058653605207225
5;16;0.5372435736804816
6;26;0.3467874862246563
6;30;0.18708664335714445
7;31;0.7480703635874079
7;19;0.0744871473609633
7;16;0.3058653605207225
7;29;0.5228787452803376
8;33;0.8613531161467861
8;31;0.8684827970831032
9;19;0.8613531161467861
9;33;0.0
9;30;0.3107441883731351
10;27;0.39794000867203766
10;22;0.3058653605207225
11;26;0.6632273531002465
11;31;0.7369655941662061
12;29;0.4018959954981562
12;30;0.18708664335714445
13;31;0.5228787452803376
14;31;0.5228787452803376
14;18;0.3058653605207225
15;19;0.6989700043360187
15;30;0.18708664335714445
16;17;0.8239087409443188
16;23;0.5228787452803376
16;24;0.6989700043360187
16;31;0.170517782338397
17;30;0.22707204579807716
17;23;0.6346318703707924
18;32;0.6989700043360187
18;28;0.4017352925058887
18;30;0.26766047497970386
20;31;0.5228787452803376
20;23;0.5228787452803376
21;30;0.18708664335714445
21;26;0.3467874862246563
22;31;0.7480703635874079
22;33;0.6967170503250103
23;24;0.7480703635874079
24;29;0.5228787452803376
24;30;0.26766047497970386
25;29;0.8483585251625051
25;32;0.6989700043360187
25;31;0.7480703635874079
26;30;0.17095132939520577
26;33;0.26926374074158455
27;30;0.47013780791097076
28;30;0.4103389574668817
31;34;0.6346318703707924
