Source;Target;Weight
1;24;0.17168305466745956
1;19;0.03000781618000662
2;32;0.40583142490427443
2;33;0.227349252052449
2;36;0.3374850205212583
2;19;0.016226866767196743
2;17;0.36226538178406786
2;28;0.34312101266803596
2;10;0.23100163325535766
3;5;0.4898379446774759
3;19;0.5144439736810263
4;19;0.08506474453602463
4;24;0.0
5;12;0.6129418338806872
5;23;0.44260444961248985
5;28;0.38203510732880425
5;32;0.4447455195650427
5;36;0.37639911518202657
6;14;0.3588052717217037
6;24;0.0
6;19;0.06171693227251678
6;34;0.09293324965667903
6;30;0.19673846342375617
6;26;0.36318834969621083
6;11;0.26262989405947823
7;16;0.575030134983395
7;19;0.2900394060143993
8;18;0.5291842962700498
8;19;0.30635418484623866
8;14;0.6981079874457629
9;19;0.21706957346129221
9;14;0.6981079874457629
10;19;0.16095372350206832
11;24;0.0
11;25;0.4359599911160165
11;33;0.19952027877323966
11;13;0.27726455459455857
11;14;0.28548623293717434
11;36;0.8173598536150029
11;21;0.8173598536150029
11;22;0.41798253524825363
11;28;0.8251807054214085
11;32;0.7591213209828888
11;19;0.0
11;34;0.019614210872149686
12;19;0.3850888388144125
13;24;0.1574867599818055
14;34;0.11578958853437513
14;24;0.0
14;31;0.49399282514786413
14;19;0.08457327115021289
15;19;0.3180806167146944
15;18;0.3661488807025061
16;21;0.407482236401917
16;27;0.575030134983395
16;20;0.575030134983395
16;36;0.407482236401917
16;28;0.413531686726901
17;19;0.1335234467178971
18;29;0.49873701318835656
18;28;0.32197955212159196
18;21;0.31634355997481434
18;36;0.31634355997481434
19;23;0.5482308663606784
19;29;0.3769180481427384
19;35;0.0
19;27;0.2900394060143993
19;37;0.13589909950460693
19;26;0.08895634912472006
19;33;0.6460357628160349
19;31;0.2571740688189021
19;30;0.0
19;20;0.2900394060143993
22;24;0.11194938328625877
24;34;0.26393379153470053
24;25;0.023412082419124975
24;37;0.0
28;33;0.32550146288711745
32;33;0.3882118751233559
33;36;0.3198654707403398
34;35;0.015027191412316284
