Id;Label;Degree;PageRank;Betweenness;Community
1;1 ceres;1091;0.0010916384301442622;0.0005576719003572711;0
2;10 hygiea;1724;0.0015103654555227895;4.814433672149103e-05;0
3;101 helena;1029;0.0009655701480572171;8.732847744203776e-05;0
4;1018 arnolda;419;0.0004874899267922166;0.0;0
5;10199 chariklo;309;0.0006269402796685284;0.12936249542795972;0
6;1025 riema;991;0.0009328678494707126;0.00012398779043178943;0
7;103 hera;969;0.0009166976394579372;7.312976250851992e-05;0
8;1036 ganymed;1442;0.0012939185119945954;0.00028686000629888405;0
9;105 artemis;1218;0.0011149139036645051;1.2036084180372757e-05;0
10;1058 grubba;1012;0.0009483978238846099;0.0005224936220260202;0
11;106 dione;1472;0.0013121983432857628;1.0030070150310631e-06;0
12;107 camilla;995;0.0009401000618498676;9.170349851712582e-06;0
13;11 parthenope;1476;0.0013135098431613793;0.0;0
14;110 lydia;1369;0.0012472952597563519;1.1283828919099461e-05;0
15;1103 sequoia;1002;0.0009452685653693654;0.00015744822024047126;0
16;111 ate;1009;0.0009519557026216698;0.0;0
17;113 amalthea;1426;0.001276384889902347;1.4042098210434884e-06;0
18;114 kassandra;1126;0.0010395368271340756;0.0;0
19;115 thyra;1582;0.0013982261307866916;0.0;0
20;116 sirona;1439;0.0012872435457045276;4.0120280601242527e-07;0
21;1167 dubiago;693;0.0007006006044959245;0.0;0
22;1172 aneas;867;0.000833008367109701;0.0;0
23;1173 anchises;929;0.000884310800489954;0.0;0
24;119 althaea;1264;0.00115072798469836;0.0;0
25;12 victoria;1650;0.0014535928287628184;4.413230866136678e-05;0
26;121 hermione;1254;0.0011445914685071416;1.0030070150310631e-06;0
27;1212 francette;1158;0.0010660322654199293;0.00021514035876093316;0
28;1215 boyer;418;0.00048744035514083683;0.0;0
29;124 alkeste;1231;0.001125773196470848;2.0958070390268136e-05;0
30;125 liberatrix;965;0.0009253085167330435;3.510524552608721e-06;0
31;1251 hedera;665;0.0006832351358672239;2.681849709237822e-05;0
32;128 nemesis;1359;0.0012259662791027932;0.00010932776463838588;0
33;1284 latvia;1324;0.0011996174531791997;1.8054126270559137e-05;0
34;129 antigone;1184;0.001096806749175536;1.0030070150310631e-06;0
35;13 egeria;1651;0.001450593927370921;0.0;0
36;130 elektra;1743;0.0015278991416779978;3.009021045093189e-06;0
37;1317 silvretta;893;0.0008597715556268753;3.9117273586211464e-05;0
38;132 aethra;932;0.0008913296266231744;7.823454717242293e-05;0
39;134 sophrosyne;870;0.0008446355689476269;0.00011672135920632902;0
40;135 hertha;1311;0.0012000371500289085;1.8054126270559137e-05;0
41;136 austria;1048;0.0009894675119236059;9.762601612969013e-05;0
42;137 meliboea;730;0.0007306955963296753;3.3433567167702106e-06;0
43;1379 lomonosowa;402;0.00047663469125919114;0.0;0
44;138 tolosa;614;0.0006371116514240981;0.0;0
45;139 juewa;1059;0.0009852203931633218;1.0698741493664668e-05;0
46;14 irene;1469;0.0013119955763872884;0.0;0
47;140 siwa;1008;0.0009470864334601759;0.00023214538021930578;0
48;141 lumen;1118;0.0010330942568407685;0.0;0
49;144 vibilia;1236;0.0011303360023325712;7.336279881370066e-05;0
50;145 adeona;1582;0.0013982261307866916;0.0;0
51;148 gallia;936;0.0008922153749774447;0.00017767552837693104;0
52;15 eunomia;1476;0.0013135098431613789;0.0;0
53;152 atala;1005;0.0009463559227068563;1.0698741493664674e-06;0
54;153 hilda;1005;0.0009463559227068563;1.0698741493664674e-06;0
55;156 xanthippe;1264;0.0011507279846983604;0.0;0
56;158 koronis;1231;0.001125773196470848;2.0958070390268136e-05;0
57;1580 betulia;897;0.0008610870865422418;3.2430560152671046e-05;0
58;16 psyche;1749;0.0015439756609133823;4.0120280601242526e-06;0
59;161 athor;820;0.0008105157890200713;0.0003500876580368906;0
60;1620 geographos;1041;0.0009721833667851592;0.0;0
61;1627 ivar;1247;0.0011317808997739745;0.0;0
62;164 eva;1008;0.0009470864334601759;0.00023214538021930578;0
63;166 rhodope;813;0.0007934844914543067;0.00022195908412786595;0
64;167 urda;1291;0.001174660961068116;0.0002467397256976415;0
65;1685 toro;886;0.0008487005504420821;0.0;0
66;169 zelia;1337;0.0012104765280962471;0.0001160144780719263;0
67;17 thetis;1421;0.0012788648295206317;5.015035075155316e-06;0
68;170 maria;1051;0.0009817421488367043;4.0120280601242526e-06;0
69;171 ophelia;995;0.0009401000618498677;9.170349851712582e-06;0
70;1722 goffin;422;0.0004919971175084356;0.0;0
71;173 ino;1120;0.0010412365098859098;4.0120280601242526e-06;0
72;1772 gagarin;402;0.0004766346912591912;0.0;0
73;18 melpomene;1596;0.001410128035551083;9.277814889037334e-06;0
74;181 eucharis;1300;0.001180408398010222;0.0;0
75;184 dejopeja;995;0.0009515790040019175;5.9511749558509756e-05;0
76;185 eunike;1231;0.001125773196470848;2.0958070390268136e-05;0
77;186 celuta;912;0.0008792793379748261;1.2508930344601677e-05;0
78;19 fortuna;1687;0.0014802988276092705;0.0;0
79;190 ismene;925;0.0008850527765145557;0.0001676454582266204;0
80;192 nausikaa;1328;0.0012009289296825963;1.6549615748012542e-05;0
81;194 prokne;1392;0.0012509234970414687;5.015035075155316e-06;0
82;196 philomela;1231;0.001125773196470848;2.0958070390268136e-05;0
83;198 ampella;941;0.0008984402495001811;1.0030070150310631e-06;0
84;2 pallas;1833;0.0016000173138428118;1.3373426867080841e-06;0
85;20 massalia;1664;0.001462643569443384;6.686713433540421e-07;0
86;200 dynamene;1158;0.0010660322654199293;0.00021514035876093316;0
87;201 penelope;980;0.0009374992713602309;0.0;0
88;2060 chiron;945;0.0009212681405365424;0.03614034876559927;0
89;209 dido;878;0.0008523407619889482;5.0890665453123746e-05;0
90;21 lutetia;1828;0.001924207834673056;0.007524558626763035;0
91;2100 ra-shalom;809;0.000793825547136619;0.0;0
92;213 lilaea;1406;0.0012652456215480935;1.8388461942236156e-05;0
93;214 aschera;1044;0.0009859113680757013;0.00023871566957739304;0
94;216 kleopatra;1496;0.0013472946426064003;3.009021045093189e-06;0
95;217 eudora;730;0.0007278219270180333;9.027063135279568e-06;0
96;22 kalliope;1703;0.001506374482485861;1.7051119255528074e-05;0
97;221 eos;1517;0.001351565955883671;1.8054126270559137e-05;0
98;224 oceana;518;0.0005659908316158822;2.0060140300621263e-06;0
99;23 thalia;1374;0.0012367426711869987;3.1761888809317e-06;0
100;230 athamantis;1469;0.0013119955763872889;0.0;0
101;233 asterope;1260;0.001151430801455797;0.0;0
102;234 barbara;951;0.0009120678531351361;3.732141340691778e-05;0
103;236 honoria;1158;0.0010660322654199293;0.00021514035876093316;0
104;24 themis;1421;0.0012735880692312735;2.0060140300621263e-06;0
105;241 germania;1203;0.0011015811145467823;0.0;0
106;243 ida;821;0.000996998552919016;0.01604008818437676;0
107;246 asporina;1589;0.001409358570231959;1.5045105225465947e-05;0
108;25 phocaea;1545;0.0013719594436898464;4.0120280601242526e-06;0
109;250 bettina;1010;0.0009556326341361169;8.024056120248505e-06;0
110;253 mathilde;348;0.0006160857145060143;0.0060481323006373105;0
111;258 tyche;1472;0.0013121983432857632;1.0030070150310631e-06;0
112;26 proserpina;1366;0.0012274872397233449;0.0;0
113;264 libussa;1426;0.001276384889902347;1.4042098210434884e-06;0
114;268 adorea;1032;0.0009663559799887004;6.686713433540421e-07;0
115;27 euterpe;1710;0.0014984575207301364;2.4072168360745514e-05;0
116;279 thule;1158;0.0010660322654199293;0.00021514035876093316;0
117;28 bellona;1341;0.0012117878924425476;6.686713433540421e-07;0
118;283 emma;556;0.0005976353927918927;1.9558636793105732e-05;0
119;289 nenetta;1219;0.0011224417376466424;1.0030070150310631e-06;0
120;29 amphitrite;1655;0.0014579918008392843;0.0;0
121;292 ludovica;438;0.0005062194855249482;0.0;0
122;3 juno;1663;0.0014644511519101026;0.0;0
123;30 urania;1456;0.0013011366449231746;0.0;0
124;306 unitas;931;0.0008901305012644933;0.00016614954490705973;0
125;308 polyxo;1473;0.0013132355324306107;0.0;0
126;31 euphrosyne;1303;0.0011763876882301052;0.0;0
127;313 chaldaea;973;0.0009184819148872161;0.0;0
128;317 roxane;1146;0.001062687611021332;6.68671343354042e-06;0
129;32 pomona;1439;0.0012872435457045276;4.0120280601242527e-07;0
130;322 phaeo;878;0.0008523407619889481;5.0890665453123746e-05;0
131;323 brucia;1032;0.0009663559799887004;6.686713433540421e-07;0
132;324 bamberga;1141;0.0010470053458749595;0.0;0
133;325 heidelberga;841;0.0008140594544302919;0.0;0
134;326 tamara;962;0.0009113233887344293;0.0;0
135;329 svea;819;0.0008058711804626202;8.024056120248505e-06;0
136;33 polyhymnia;1075;0.0010013936662263327;3.182875594365235e-05;0
137;335 roberta;1292;0.0011806879132317107;0.0001143427997135412;0
138;336 lacadiera;969;0.0009166976394579374;7.312976250851992e-05;0
139;337 devosa;1308;0.0011971651417347316;6.686713433540421e-06;0
140;338 budrosa;1329;0.001202171672795698;1.3373426867080841e-06;0
141;339 dorothea;1064;0.0009926032770047198;1.0030070150310631e-06;0
142;34 circe;1286;0.0011662123367641726;8.124356821751611e-05;0
143;344 desiderata;973;0.0009184819148872161;0.0;0
144;345 tercidina;1341;0.0012117878924425476;6.686713433540421e-07;0
145;346 hermentaria;1042;0.0009764316747549982;5.4850155050556e-05;0
146;347 pariana;1175;0.0010820804536384352;5.850874254347868e-05;0
147;349 dembowska;1656;0.0014590377210386965;2.0060140300621263e-06;0
148;352 gisela;1075;0.0010013936662263327;3.182875594365235e-05;0
149;354 eleonora;1772;0.0015551656092255303;3.81142665711804e-05;0
150;356 liguria;1094;0.0010101667552078317;0.0;0
151;359 georgia;872;0.0008535310739821722;0.00042531318416421944;0
152;36 atalante;790;0.0007745281816446996;0.0;0
153;361 bononia;1032;0.0009663559799887003;6.686713433540421e-07;0
154;365 corduba;991;0.0009328678494707124;0.00012398779043178943;0
155;369 aeria;623;0.0006547843138926627;0.0002916744399710332;0
156;37 fides;1532;0.0013611010379968615;1.2036084180372757e-05;0
157;372 palma;1008;0.0009470864334601757;0.00023214538021930578;0
158;374 burgundia;958;0.0009079070635995097;5.95514790571571e-05;0
159;375 ursula;1063;0.000993173947183456;2.0060140300621263e-06;0
160;376 geometria;969;0.0009166976394579372;7.312976250851992e-05;0
161;379 huenna;1107;0.0010298755848353795;0.0;0
162;386 siegena;1439;0.00128777264459616;1.4042098210434884e-05;0
163;387 aquitania;1214;0.001113999261735695;0.0;0
164;389 industria;1536;0.0013624133161406309;1.2036084180372757e-05;0
165;39 laetitia;1549;0.0013732716198104;0.0;0
166;4 vesta;1794;0.0016827101544695038;0.001476426326125725;0
167;40 harmonia;1476;0.0013135098431613793;0.0;0
168;4015 wilson-harrington;538;0.0006088036274056702;0.004709117935570842;0
169;402 chloe;958;0.0009079070635995096;5.95514790571571e-05;0
170;403 cyane;795;0.0007780553102614973;3.949204795341515e-05;0
171;405 thia;995;0.0009401000618498678;9.170349851712582e-06;0
172;409 aspasia;1230;0.0011261960381332469;1.1283828919099461e-05;0
173;41 daphne;1570;0.0013951595809443187;5.015035075155316e-06;0
174;410 chloris;1046;0.0009782395842500016;0.0;0
175;416 vaticana;1341;0.0012117878924425476;6.686713433540421e-07;0
176;417 suevia;980;0.0009330248480855742;0.0004192569322829844;0
177;418 alemannia;696;0.0007055622597499951;0.0;0
178;419 aurelia;1298;0.001179738820929854;3.009021045093189e-06;0
179;42 isis;1549;0.0013732716198104;0.0;0
180;423 diotima;1205;0.001102861381347991;1.0698741493664668e-05;0
181;43 ariadne;1733;0.0015223219181694986;4.0120280601242526e-06;0
182;431 nephele;1203;0.0011015811145467823;0.0;0
183;433 eros;556;0.0007380485424677385;0.012928760423750404;0
184;434 hungaria;1569;0.001396984425871043;9.027063135279568e-06;0
185;44 nysa;1829;0.0016061007683829918;1.3373426867080841e-06;0
186;441 bathilde;1224;0.0011225631599305714;1.303909119540382e-05;0
187;446 aeternitas;1343;0.001215406581756165;1.3289842949161586e-05;0
188;45 eugenia;1346;0.0012151069114857839;1.303909119540382e-05;0
189;46 hestia;1614;0.001429498353865628;0.0;0
190;462 eriphyla;1158;0.0010660322654199297;0.00021514035876093316;0
191;47 aglaja;977;0.0009259546737816427;9.534636789145789e-05;0
192;470 kilia;894;0.000863852428084457;2.354200750994343e-05;0
193;471 papagena;1341;0.0012117878924425476;6.686713433540421e-07;0
194;472 roma;819;0.0007973331982695196;0.0;0
195;476 hedwig;1097;0.0010168662557753798;0.0;0
196;48 doris;1286;0.0011662123367641726;8.124356821751611e-05;0
197;488 kreusa;1032;0.0009663559799887002;6.686713433540421e-07;0
198;495 eulalia;438;0.0005062194855249479;0.0;0
199;497 iva;690;0.0007099685545957144;0.0;0
200;5 astraea;1651;0.0014505939273709207;0.0;0
201;50 virginia;1032;0.0009832115467955558;5.015035075155316e-06;0
202;504 cora;706;0.0007138738902226554;1.0603217016042665e-05;0
203;505 cava;1179;0.001082966321112439;1.1033077165341695e-05;0
204;51 nemausa;1503;0.0013379905221238648;9.277814889037334e-06;0
205;511 davida;1838;0.0016015633663057636;2.0060140300621263e-06;0
206;52 europa;1443;0.001289085774687597;0.0;0
207;521 brixia;1075;0.0010013936662263327;3.182875594365235e-05;0
208;53 kalypso;860;0.0008347975321843257;2.5242343211615086e-05;0
209;532 herculina;1651;0.0014505939273709203;0.0;0
