Id;Label;Degree;PageRank;Betweenness;Community
1;boundaries;127;0.00025537939967077995;0.007392161700778935;3
2;themis;167;0.0008001110987539115;0.003261778812881017;1
3;mars express;65;0.000423251684173146;0.004655958563774195;1
4;imagery;801;0.002788347846647741;0.054409118537375054;1
5;mars reconnaissance orbiter;83;0.0005003983548332502;0.010507501489465417;1
6;astrophysics;202;0.0011643585544764375;0.010936788491898712;1
7;xo-2;77;0.0006593241089669744;1.5045105225465949e-05;1
8;2p/encke 1 (1818 w1);56;0.00044045078559000185;0.044327895029297834;1
9;cal lamps;50;0.0003641679204968291;0.005057495705458297;1
10;working group for planetary system nomenclature;580;0.0017644187213125455;0.044734112870385416;1
11;mission;511;0.00220767412558315;0.011233678568347907;1
12;mariner71;42;0.0003110351144362123;3.209622448099402e-05;1
13;smap;229;0.00046117794653520515;0.010643910443509642;3
14;comet;83;0.0006199387109786941;0.021366055434191705;1
15;vega;173;0.0008847775334252365;0.005883639150172216;1
16;deep impact;155;0.0009358763450434183;0.0061704991564711;1
17;planets;99;0.0004710794162421783;0.00715144001717148;1
18;messenger;179;0.0009051867579665791;0.0013640895404422458;1
19;mars;661;0.0038235149594196246;0.009031075163339692;1
20;wasp-3;75;0.0006473473728720586;4.012028060124253e-06;1
21;vehicle;221;0.0009938317044833529;0.00040320882004248737;1
22;operations;46;0.00039381030216332087;0.04893570925635054;1
23;viking;75;0.00046337144020996507;0.000842525892626093;1
24;earth science;37219;0.019588058944915162;0.0005255756758762771;3
25;aqua;37;0.000308413831753649;0.009616831260117833;1
26;planetary science;94;0.0006634983021500583;0.07308510915725344;1
27;xo-3;77;0.0006593241089669744;1.5045105225465949e-05;1
28;delta;219;0.0009761884217041188;0.0031915683218288428;1
29;c/ison (2012 s1);56;0.0004298867601116017;0.006264781815884021;1
30;climate;699;0.002273902735500264;0.008423252912230868;1
31;star;632;0.001696722242341249;0.054409118537375054;1
32;pegasus;123;0.000611112935864521;0.008124356821751612;1
33;phoenix;67;0.0004648557239456731;1.2036084180372757e-05;1
34;air quality;2219;0.0011390706947257223;0.0002587758098780143;3
35;ecosystems;1430;0.0008494110129867905;2.206615433068339e-05;3
36;earth's bridge to space;226;0.0010024722105400861;0.0;1
37;images;627;0.0019369653715643116;0.017496454370201864;1
