Source;Target;Weight
1;2;1.0
1;7;1.0
1;9;1.0
1;10;1.0
1;11;1.0
1;12;1.0
1;22;1.0
1;26;1.0
1;41;1.0
1;42;1.0
1;43;1.0
1;4;0.8133475887610566
1;14;0.8133475887610566
1;16;0.8133475887610566
1;18;0.8133475887610566
1;27;0.8133475887610566
1;45;0.8133475887610566
1;47;0.8133475887610566
3;31;0.8102795866588156
3;78;0.7822853923236198
4;8;1.0
4;878;0.8133475887610566
5;28;0.5964443874956439
5;6;0.5395826679865399
6;14;0.8657589169099486
13;16;0.8657589169099486
14;19;0.8657589169099486
14;29;0.8657589169099486
14;809;0.8133475887610566
15;19;0.8657589169099486
15;300;0.8133475887610566
15;24;0.6966351535250989
15;32;0.6966351535250989
16;242;0.8133475887610566
17;204;0.5432484225410451
18;21;1.0
18;33;1.0
18;36;1.0
18;839;0.8133475887610566
19;318;0.8657589169099486
19;20;0.675980538016721
23;505;0.7705133526943083
24;38;0.7206515260877054
25;40;0.8046525885191188
27;890;0.8133475887610566
28;49;0.6153253061514408
29;50;0.8657589169099486
30;31;0.5184568989190556
34;240;0.8046525885191188
34;52;0.5458885342038262
35;46;0.9279231163896043
35;40;0.6249161225155376
37;46;0.8558462327792089
39;102;0.7226809427363612
40;50;0.8657589169099486
44;50;0.7705133526943083
45;48;0.8657589169099486
45;785;0.8133475887610566
47;768;0.8133475887610566
49;51;0.5376816383184829
50;237;0.8133475887610566
53;54;1.0
53;55;1.0
53;58;1.0
53;61;1.0
53;62;1.0
53;63;1.0
53;64;1.0
53;68;1.0
53;74;1.0
53;75;1.0
53;76;1.0
53;84;1.0
53;87;1.0
53;89;1.0
53;90;1.0
53;91;1.0
53;92;1.0
53;93;1.0
53;95;1.0
53;96;1.0
53;65;0.8133475887610566
53;69;0.8133475887610566
53;72;0.8133475887610566
53;82;0.8133475887610566
53;83;0.8133475887610566
53;86;0.8133475887610566
56;202;0.734930079467421
57;301;0.6966351535250989
59;82;0.8657589169099486
59;85;0.8657589169099486
60;175;0.7705133526943083
